support,itemsets
0.14279684383753086,frozenset({'云闪付'})
0.142879703869379,frozenset({'信用卡'})
0.14287054314416892,frozenset({'储蓄卡'})
0.12464047731958706,frozenset({'办公'})
0.33382760959241164,frozenset({'家居'})
0.14279926125112796,frozenset({'微信支付'})
0.14288625633255012,frozenset({'支付宝'})
0.45438523438685596,frozenset({'服装'})
0.12286479160829222,frozenset({'母婴'})
0.11944440583297727,frozenset({'汽车用品'})
0.18336479734964953,frozenset({'玩具'})
0.14288870555422084,frozenset({'现金'})
0.9089974829953243,frozenset({'电子产品'})
0.12128854251875858,frozenset({'运动户外'})
0.14287868601102233,frozenset({'银联'})
0.4518360717487083,frozenset({'食品'})
0.017779599885605443,"frozenset({'云闪付', '办公'})"
0.0476662432269876,"frozenset({'家居', '云闪付'})"
0.06487934132095559,"frozenset({'服装', '云闪付'})"
0.017510376350264655,"frozenset({'母婴', '云闪付'})"
0.017078868023181343,"frozenset({'云闪付', '汽车用品'})"
0.0261478587488695,"frozenset({'玩具', '云闪付'})"
0.12977827641527717,"frozenset({'电子产品', '云闪付'})"
0.017326239411927246,"frozenset({'运动户外', '云闪付'})"
0.06452286823960347,"frozenset({'食品', '云闪付'})"
0.01782429022907825,"frozenset({'信用卡', '办公'})"
0.04766662492387135,"frozenset({'家居', '信用卡'})"
0.06491127662689629,"frozenset({'服装', '信用卡'})"
0.017592504796418947,"frozenset({'信用卡', '母婴'})"
0.017079186103917805,"frozenset({'信用卡', '汽车用品'})"
0.026211029583130704,"frozenset({'玩具', '信用卡'})"
0.1298992425193534,"frozenset({'电子产品', '信用卡'})"
0.017325603250454322,"frozenset({'运动户外', '信用卡'})"
0.06455973379695933,"frozenset({'信用卡', '食品'})"
0.017822254512364896,"frozenset({'储蓄卡', '办公'})"
0.04770546258179327,"frozenset({'家居', '储蓄卡'})"
0.06498879290237189,"frozenset({'服装', '储蓄卡'})"
0.017523862973490612,"frozenset({'母婴', '储蓄卡'})"
0.017063568339757557,"frozenset({'储蓄卡', '汽车用品'})"
0.026230750588791298,"frozenset({'玩具', '储蓄卡'})"
0.1298774539889058,"frozenset({'电子产品', '储蓄卡'})"
0.017290232672559833,"frozenset({'运动户外', '储蓄卡'})"
0.06457665569213906,"frozenset({'食品', '储蓄卡'})"
0.039100297186012885,"frozenset({'家居', '办公'})"
0.01775552117385533,"frozenset({'微信支付', '办公'})"
0.01781223496916637,"frozenset({'支付宝', '办公'})"
0.05229355454873107,"frozenset({'服装', '办公'})"
0.0135078074030047,"frozenset({'母婴', '办公'})"
0.013090103779883804,"frozenset({'办公', '汽车用品'})"
0.020269026961445658,"frozenset({'玩具', '办公'})"
0.017816974372139638,"frozenset({'办公', '现金'})"
0.11264619348488587,"frozenset({'电子产品', '办公'})"
0.013270932678562017,"frozenset({'运动户外', '办公'})"
0.01782960217737715,"frozenset({'银联', '办公'})"
0.051943220425592664,"frozenset({'食品', '办公'})"
0.04769156245360991,"frozenset({'家居', '微信支付'})"
0.0476842465966713,"frozenset({'家居', '支付宝'})"
0.14593057525314693,"frozenset({'服装', '家居'})"
0.0384741234482153,"frozenset({'家居', '母婴'})"
0.037431931915200056,"frozenset({'家居', '汽车用品'})"
0.05770833834973162,"frozenset({'玩具', '家居'})"
0.04772006248759684,"frozenset({'家居', '现金'})"
0.24282509258773596,"frozenset({'家居', '电子产品'})"
0.03801961788388584,"frozenset({'家居', '运动户外'})"
0.04769340732188139,"frozenset({'家居', '银联'})"
0.14514434328876205,"frozenset({'家居', '食品'})"
0.06486734967719099,"frozenset({'服装', '微信支付'})"
0.01756817162007966,"frozenset({'微信支付', '母婴'})"
0.017061596239191498,"frozenset({'微信支付', '汽车用品'})"
0.026192867173078765,"frozenset({'玩具', '微信支付'})"
0.12981619163906336,"frozenset({'微信支付', '电子产品'})"
0.017328847673966228,"frozenset({'微信支付', '运动户外'})"
0.0644635779903271,"frozenset({'微信支付', '食品'})"
0.0649136304243461,"frozenset({'服装', '支付宝'})"
0.01753652258680177,"frozenset({'母婴', '支付宝'})"
0.01703516372999157,"frozenset({'支付宝', '汽车用品'})"
0.026216341531429606,"frozenset({'玩具', '支付宝'})"
0.12987357340392097,"frozenset({'电子产品', '支付宝'})"
0.01733104243104781,"frozenset({'运动户外', '支付宝'})"
0.06463174727569415,"frozenset({'食品', '支付宝'})"
0.05152459436833603,"frozenset({'服装', '母婴'})"
0.05003409984535233,"frozenset({'服装', '汽车用品'})"
0.07741083171146616,"frozenset({'玩具', '服装'})"
0.06492988434997927,"frozenset({'服装', '现金'})"
0.41171203171239495,"frozenset({'服装', '电子产品'})"
0.050900011034220746,"frozenset({'服装', '运动户外'})"
0.06489495908511583,"frozenset({'服装', '银联'})"
0.1966987418221045,"frozenset({'服装', '食品'})"
0.012900114155995509,"frozenset({'母婴', '汽车用品'})"
0.019962015434613272,"frozenset({'玩具', '母婴'})"
0.017563464025180036,"frozenset({'母婴', '现金'})"
0.11108295389747348,"frozenset({'电子产品', '母婴'})"
0.013112146774920569,"frozenset({'运动户外', '母婴'})"
0.017569889256056553,"frozenset({'银联', '母婴'})"
0.05114805039251322,"frozenset({'食品', '母婴'})"
0.01936469161961272,"frozenset({'玩具', '汽车用品'})"
0.017048586737070232,"frozenset({'汽车用品', '现金'})"
0.10796296356967251,"frozenset({'电子产品', '汽车用品'})"
0.012715372864258823,"frozenset({'运动户外', '汽车用品'})"
0.017077436659867266,"frozenset({'银联', '汽车用品'})"
0.04974127471936611,"frozenset({'食品', '汽车用品'})"
0.026191912930869383,"frozenset({'玩具', '现金'})"
0.16581074851426875,"frozenset({'玩具', '电子产品'})"
0.01970052126116849,"frozenset({'玩具', '运动户外'})"
0.026174036793480262,"frozenset({'玩具', '银联'})"
0.07692706271938227,"frozenset({'玩具', '食品'})"
